,Negative,Neutral,Positive,Negative counts,Neutral counts,Positive counts,Word counts,Negative TFIDF,Neutral TFIDF,Positive TFIDF,word
5587,1.0,1.0,1.0,11.0,1.0,18.0,30.0,0.36666666666666664,0.03333333333333333,0.6,Thad
5588,1.0,0.0,1.0,2.0,0.0,2.0,4.0,0.5,0.0,0.5,lots
5589,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,mesange
5590,1.0,0.0,1.0,3.0,0.0,6.0,9.0,0.3333333333333333,0.0,0.6666666666666666,Welf
5591,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,minority
5592,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,heartland
5593,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,depart
5594,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,sighing
5595,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,setback
5596,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.2,0.2,0.6,reason
5597,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Septoria
5598,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,purple
5599,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Bantam
5600,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,scrapbook
5601,1.0,0.0,1.0,9.0,0.0,19.0,28.0,0.32142857142857145,0.0,0.6785714285714286,tweet
5602,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,keen
5603,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,lit
5604,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,splurge
5605,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Samsam
5606,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,bear
5607,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,backwards
5608,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Millite
5609,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,wand
