,Negative,Neutral,Positive,Negative counts,Neutral counts,Positive counts,Word counts,Negative TFIDF,Neutral TFIDF,Positive TFIDF,word
152,1.0,0.0,1.0,2.0,0.0,3.0,5.0,0.4,0.0,0.6,Cat
153,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,plaint
154,1.0,1.0,1.0,2.0,1.0,3.0,6.0,0.3333333333333333,0.16666666666666666,0.5,Neri
155,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,'CONDITION
156,1.0,1.0,1.0,1.0,3.0,1.0,5.0,0.2,0.6,0.2,Fin
157,0.0,1.0,1.0,0.0,1.0,4.0,5.0,0.0,0.2,0.8,fine
158,1.0,1.0,1.0,3.0,7.0,3.0,13.0,0.23076923076923078,0.5384615384615384,0.23076923076923078,change
159,1.0,1.0,1.0,15.0,36.0,6.0,57.0,0.2631578947368421,0.631578947368421,0.10526315789473684,take
160,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,callus
161,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,le
162,0.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,criminal
163,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,ajaja
164,1.0,1.0,1.0,1.0,1.0,4.0,6.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,fan
165,1.0,1.0,1.0,4.0,2.0,1.0,7.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,hand
166,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,30+
167,0.0,1.0,1.0,0.0,4.0,1.0,5.0,0.0,0.8,0.2,fund
168,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,swording
169,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,Bare
170,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Unrussian
171,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Londony
